Year,StateAbbr,StateDesc,CityName,GeographicLevel,Category,Measure,DataValueTypeID,Data_Value_Pct,Population2010,CityFIPS
2014,AK,Alaska,Anchorage,City,Unhealthy Behaviors,No leisure-time physical activity among adults aged >=18 Years,AgeAdjPrv,19.2,291826,203000
2014,AK,Alaska,Anchorage,City,Unhealthy Behaviors,Current smoking among adults aged >=18 Years,AgeAdjPrv,18.3,291826,203000
2014,AK,Alaska,Anchorage,City,Unhealthy Behaviors,Obesity among adults aged >=18 Years,AgeAdjPrv,27.7,291826,203000
2014,AK,Alaska,Anchorage,City,Unhealthy Behaviors,Sleeping less than 7 hours among adults aged >=18 Years,AgeAdjPrv,33.4,291826,203000
2014,AK,Alaska,Anchorage,City,Unhealthy Behaviors,Binge drinking among adults aged >=18 Years,AgeAdjPrv,20.2,291826,203000
2014,AL,Alabama,Huntsville,City,Unhealthy Behaviors,No leisure-time physical activity among adults aged >=18 Years,AgeAdjPrv,24.9,180105,137000
2014,AL,Alabama,Huntsville,City,Unhealthy Behaviors,Obesity among adults aged >=18 Years,AgeAdjPrv,32,180105,137000
2014,AL,Alabama,Mobile,City,Unhealthy Behaviors,Obesity among adults aged >=18 Years,AgeAdjPrv,37.6,195111,150000
2014,AL,Alabama,Birmingham,City,Unhealthy Behaviors,No leisure-time physical activity among adults aged >=18 Years,AgeAdjPrv,31.7,212237,107000
2014,AL,Alabama,Mobile,City,Unhealthy Behaviors,No leisure-time physical activity among adults aged >=18 Years,AgeAdjPrv,27.4,195111,150000
2014,AL,Alabama,Hoover,City,Unhealthy Behaviors,Sleeping less than 7 hours among adults aged >=18 Years,AgeAdjPrv,34.6,81619,135896
2014,AL,Alabama,Mobile,City,Unhealthy Behaviors,Binge drinking among adults aged >=18 Years,AgeAdjPrv,12.8,195111,150000
2014,AL,Alabama,Birmingham,City,Unhealthy Behaviors,Obesity among adults aged >=18 Years,AgeAdjPrv,39,212237,107000
2014,AL,Alabama,Montgomery,City,Unhealthy Behaviors,Sleeping less than 7 hours among adults aged >=18 Years,AgeAdjPrv,41.3,205764,151000
2014,AL,Alabama,Birmingham,City,Unhealthy Behaviors,Binge drinking among adults aged >=18 Years,AgeAdjPrv,11.4,212237,107000
2014,AL,Alabama,Tuscaloosa,City,Unhealthy Behaviors,Current smoking among adults aged >=18 Years,AgeAdjPrv,23.2,90468,177256
2014,AL,Alabama,Mobile,City,Unhealthy Behaviors,Current smoking among adults aged >=18 Years,AgeAdjPrv,22,195111,150000
2014,AL,Alabama,Montgomery,City,Unhealthy Behaviors,Current smoking among adults aged >=18 Years,AgeAdjPrv,21.3,205764,151000
2014,AL,Alabama,Montgomery,City,Unhealthy Behaviors,Obesity among adults aged >=18 Years,AgeAdjPrv,36.8,205764,151000
