Year,StateAbbr,CityName,Population2010,CityFIPS,Binge drinking among adults aged >=18 Years,Current smoking among adults aged >=18 Years,No leisure-time physical activity among adults aged >=18 Years,Obesity among adults aged >=18 Years,Sleeping less than 7 hours among adults aged >=18 Years
2014,AK,Anchorage,291826,203000,20.2,18.3,19.2,27.7,33.4
2014,AL,Birmingham,212237,107000,11.4,22.0,31.7,39.0,46.9
2014,AL,Hoover,81619,135896,15.7,13.2,17.8,24.7,34.6
2014,AL,Huntsville,180105,137000,12.3,21.3,24.9,32.0,39.7
2014,AL,Mobile,195111,150000,12.8,22.0,27.4,37.6,42.2
2014,AL,Montgomery,205764,151000,12.2,21.3,27.9,36.8,41.3
2014,AL,Tuscaloosa,90468,177256,12.1,23.2,28.6,38.5,41.4
2014,AR,Fayetteville,73580,523290,15.3,21.3,25.0,30.4,33.5
2014,AR,Fort Smith,86209,524550,13.1,26.1,33.9,35.8,38.0
2014,AR,Jonesboro,67263,535710,14.4,24.3,30.1,32.9,35.8
2014,AR,Little Rock,193524,541000,13.8,20.8,26.7,31.0,36.5
2014,AR,Springdale,69797,566080,13.9,25.6,33.6,34.5,36.2
2014,AZ,Avondale,76238,404720,14.7,18.5,24.3,30.1,36.2
2014,AZ,Chandler,236123,412000,16.2,15.3,17.4,24.5,32.9
2014,AZ,Gilbert,208453,427400,17.2,14.7,15.6,23.5,32.0
2014,AZ,Glendale,226721,427820,14.7,19.8,23.7,29.6,35.8
2014,AZ,Mesa,439041,446000,15.6,19.3,21.3,28.3,34.7
2014,AZ,Peoria,154065,454050,16.6,17.4,18.6,26.0,33.5
2014,AZ,Phoenix,1445632,455000,14.5,19.6,24.1,30.1,35.6
2014,AZ,Scottsdale,217385,465000,17.1,14.0,14.6,23.2,30.8
2014,AZ,Surprise,117517,471510,16.4,17.4,18.5,26.3,33.7
2014,AZ,Tempe,161719,473000,15.3,17.5,19.4,27.2,34.0
2014,AZ,Tucson,520116,477000,13.7,19.2,22.6,30.4,34.8
2014,AZ,Yuma,93064,485540,15.2,17.7,24.9,33.3,36.0
2014,CA,Alameda,73812,600562,15.0,11.9,18.7,18.7,32.3
2014,CA,Alhambra,83089,600884,12.0,12.2,24.8,18.1,38.4
2014,CA,Anaheim,336265,602000,16.3,15.2,26.2,23.3,33.8
2014,CA,Antioch,102372,602252,15.8,16.1,24.4,30.5,37.9
2014,CA,Apple Valley,69135,602364,16.9,18.1,23.1,27.0,36.7
2014,CA,Bakersfield,347483,603526,16.8,17.6,27.1,30.3,34.8
2014,CA,Baldwin Park,75390,603666,14.3,15.3,30.0,27.4,38.9
2014,CA,Bellflower,76616,604982,14.9,16.0,25.9,27.4,39.0
2014,CA,Berkeley,112580,606000,15.8,11.3,16.5,21.0,30.9
2014,CA,Buena Park,80530,608786,15.8,14.0,24.4,20.5,33.9
2014,CA,Burbank,103340,608954,17.7,13.4,18.0,21.9,34.2
2014,CA,Carlsbad,105328,611194,19.7,11.6,15.8,20.1,31.4
2014,CA,Carson,91714,611530,14.0,13.7,23.8,24.4,39.8
2014,CA,Chico,86187,613014,18.4,17.0,20.6,27.1,33.5
2014,CA,Chino,77983,613210,16.9,14.2,22.4,24.7,36.0
2014,CA,Chino Hills,74799,613214,15.9,10.7,17.8,18.6,34.2
2014,CA,Chula Vista,243916,613392,16.6,12.8,24.0,23.9,35.7
2014,CA,Citrus Heights,83301,613588,18.3,18.9,20.4,26.8,32.2
2014,CA,Clovis,95631,614218,17.6,13.8,21.8,23.6,29.6
2014,CA,Compton,96455,615044,13.5,19.4,32.2,35.5,43.2
2014,CA,Concord,122067,616000,16.9,14.5,21.6,27.5,35.1
2014,CA,Corona,152374,616350,16.8,14.6,23.3,26.3,36.5
2014,CA,Costa Mesa,109960,616532,18.4,14.4,21.3,22.2,31.6
2014,CA,Daly City,101123,617918,12.7,11.1,23.2,17.6,35.1
2014,CA,Downey,111772,619766,16.0,13.5,23.8,26.3,36.5
2014,CA,El Cajon,99478,621712,17.1,19.2,26.1,27.1,36.9
2014,CA,El Monte,113475,622230,12.7,17.0,33.0,26.4,40.4
2014,CA,Elk Grove,153015,622020,15.8,14.3,19.3,22.3,32.9
2014,CA,Escondido,143911,622804,16.7,17.1,26.7,26.5,36.4
2014,CA,Fairfield,105321,623182,16.4,15.8,22.8,26.7,35.3
2014,CA,Folsom,72203,624638,19.5,13.5,15.2,21.8,29.8
2014,CA,Fontana,196069,624680,15.5,15.6,26.6,28.1,37.7
2014,CA,Fremont,214089,626000,13.7,10.1,18.7,15.6,32.5
2014,CA,Fresno,494665,627000,14.7,16.8,30.3,28.7,32.9
2014,CA,Fullerton,135161,628000,16.3,13.7,22.5,20.6,32.7
2014,CA,Garden Grove,170883,629000,14.5,15.4,28.1,19.9,35.6
2014,CA,Glendale,191719,630000,16.2,15.3,20.5,22.5,35.3
2014,CA,Hawthorne,84293,632548,14.3,16.4,26.6,30.1,40.3
2014,CA,Hayward,144186,633000,14.4,14.5,24.7,23.8,35.6
2014,CA,Hemet,78657,633182,15.4,20.5,29.1,31.5,39.0
2014,CA,Hesperia,90173,633434,15.9,19.1,26.8,29.2,37.6
2014,CA,Huntington Beach,189992,636000,19.6,13.2,18.0,19.6,30.4
