CityName,State,geocode,cancer,cardiovascular,depression,diabetes,diarrhea,obesity,rehab,stroke,vaccine
Albany,GA,525,76,71,64,77,64,64,62,64,52
Amarillo,TX,634,67,34,67,74,77,39,62,54,58
Anchorage,AK,743,62,32,55,68,60,41,33,68,74
Atlanta,GA,524,72,41,51,64,63,35,56,53,51
Augusta,GA,520,69,28,54,59,72,24,70,62,41
Austin,TX,635,66,30,51,67,69,35,64,52,63
Bakersfield,CA,800,67,37,60,73,71,45,36,53,56
Baltimore,MD,512,80,52,62,79,63,59,66,58,78
Baton Rouge,LA,716,71,64,59,70,72,47,74,61,56
Bend,OR,821,72,37,65,71,59,37,52,66,80
Birmingham,AL,630,78,70,67,77,73,52,79,64,59
Buffalo,NY,514,84,36,65,71,66,47,64,60,64
Charleston,SC,519,78,41,58,69,68,46,65,76,64
Charlotte,NC,517,69,33,54,65,65,39,56,53,51
Chattanooga,TN,575,78,38,61,70,75,36,57,67,55
Chicago,IL,602,71,35,56,63,64,38,63,52,52
Cincinnati,OH,515,74,39,60,74,67,44,53,54,68
Columbia,SC,546,77,53,66,81,62,76,61,61,66
Columbus,GA,522,74,49,61,74,70,61,66,63,62
Columbus,OH,535,78,37,61,72,69,43,55,55,63
Corpus Christi,TX,600,71,39,61,83,78,46,57,50,59
Dayton,OH,542,75,30,69,74,71,45,52,55,62
Denver,CO,751,63,30,55,59,65,39,55,51,53
Detroit,MI,505,74,42,58,65,65,37,64,59,58
El Paso,TX,765,68,62,66,84,65,61,42,42,68
Erie,PA,516,83,47,71,76,73,42,70,65,63
Eugene,OR,801,65,41,65,71,65,62,49,66,68
Evansville,IN,649,74,38,70,80,82,53,74,67,65
Gainesville,FL,592,82,86,66,85,62,81,77,83,100
Honolulu,HI,744,64,26,53,66,66,50,49,60,53
Houston,TX,618,70,41,51,67,60,38,47,53,59
Indianapolis,IN,527,77,46,68,80,70,56,63,61,67
Jackson,MS,718,78,58,61,92,67,75,91,70,56
Jacksonville,FL,561,72,60,55,71,67,46,91,61,56
Jonesboro,AR,734,81,46,71,77,74,65,72,60,75
Kansas City,MO,616,76,47,61,73,67,46,63,60,61
Knoxville,TN,557,76,38,62,71,77,40,64,64,60
Lafayette,IN,582,69,37,66,70,54,78,35,41,73
Lafayette,LA,642,67,71,61,58,74,29,54,69,52
Lake Charles,LA,643,69,37,62,66,68,32,67,65,56
Lansing,MI,551,73,52,67,70,63,58,75,57,80
Laredo,TX,749,63,52,58,80,50,54,37,46,52
Las Vegas,NV,839,67,38,53,63,69,33,63,53,51
Lexington,KY,541,85,46,70,76,81,66,59,67,62
Los Angeles,CA,803,63,32,54,61,58,40,44,48,49
Louisville,KY,529,81,43,62,77,81,44,91,68,63
Lubbock,TX,651,65,47,68,65,77,49,68,47,58
Macon,GA,503,72,56,60,78,68,54,71,69,53
Madison,WI,669,71,30,61,64,68,41,52,59,64
Memphis,TN,640,76,79,57,80,69,52,72,63,56
Milwaukee,WI,617,71,42,65,70,64,43,59,59,61
Missoula,MT,762,70,36,64,69,65,45,60,66,77
Nashville,TN,659,79,43,59,77,80,41,77,65,66
New Orleans,LA,622,69,40,53,63,75,33,62,64,52
New York,NY,501,71,33,53,62,56,39,58,45,57
Oklahoma City,OK,650,74,32,53,65,78,36,65,60,63
Omaha,NE,652,76,34,60,70,73,45,70,60,60
Philadelphia,PA,504,81,39,62,70,66,44,83,57,68
Phoenix,AZ,753,69,47,58,68,68,45,63,57,55
Pittsburgh,PA,508,82,40,67,70,71,43,77,70,71
Portland,OR,820,41,21,33,47,34,24,29,36,38
Rapid City,SD,764,61,28,70,66,76,34,63,64,70
Reno,NV,811,67,24,52,66,71,38,47,63,56
Rochester,NY,538,82,37,63,71,64,55,47,62,67
Rockford,IL,610,78,40,68,78,74,41,54,54,64
Salt Lake City,UT,770,60,37,67,69,67,44,65,57,56
San Angelo,TX,661,66,39,66,75,99,31,98,54,54
San Antonio,TX,641,66,41,51,77,67,39,66,53,57
San Diego,CA,825,67,42,55,65,61,45,48,51,60
Savannah,GA,507,73,46,60,64,70,51,54,64,62
Shreveport,LA,612,71,50,67,71,73,51,59,63,52
Sioux City,IA,624,75,55,69,73,70,54,50,55,55
Spokane,WA,881,68,37,67,73,62,54,53,64,66
Springfield,MO,619,72,45,69,74,73,48,59,71,68
St. Joseph,MO,638,82,64,77,71,91,31,68,65,72
St. Louis,MO,609,75,34,59,68,72,39,71,60,58
Syracuse,NY,555,82,41,69,71,64,58,49,62,67
Toledo,OH,547,76,49,69,76,67,59,74,66,64
Topeka,KS,605,69,35,64,63,70,47,52,61,66
Tulsa,OK,671,63,38,57,64,62,33,50,58,53
Washington,DC,511,66,30,46,60,52,38,47,43,59
Wilmington,NC,550,77,51,60,71,66,53,75,73,66
Youngstown,OH,536,82,33,68,69,83,50,64,60,59
