State,CityName,Population2010,cityfips,BingeDrinking,SmokingRate,NoPhysicalActivity,ObesityRate,SleepDeprivation,GeoCode,Cancer,Cardiovascular,Depression,Diabetes,Diarrhea,Obesity,Rehab,Stroke,Vaccine
GA,Albany,77434,1301052,10.9,23.7,33.1,40.4,46.9,525,76,71,64,77,64,64,62,64,52
TX,Amarillo,190695,4803000,16.5,18.5,27.9,32,32.9,634,67,34,67,74,77,39,62,54,58
AK,Anchorage,291826,203000,20.2,18.3,19.2,27.7,33.4,743,62,32,55,68,60,41,33,68,74
GA,Atlanta,420003,1304000,14.1,16.6,22.4,31.6,40.4,524,72,41,51,64,63,35,56,53,51
GA,Augusta,195844,1304204,12.5,21.8,28.1,36,44.1,520,69,28,54,59,72,24,70,62,41
TX,Austin,790390,4805000,18.9,13.2,21.4,26,29,635,66,30,51,67,69,35,64,52,63
CA,Bakersfield,347483,603526,16.8,17.6,27.1,30.3,34.8,800,67,37,60,73,71,45,36,53,56
MD,Baltimore,620961,2404000,13.9,23.2,26.3,35.6,44.4,512,80,52,62,79,63,59,66,58,78
LA,Baton Rouge,229493,2205000,15.7,22.8,30.4,36.8,36.6,716,71,64,59,70,72,47,74,61,56
OR,Bend,76639,4105800,20.1,16,14.6,26.1,30,821,72,37,65,71,59,37,52,66,80
AL,Birmingham,212237,107000,11.4,22,31.7,39,46.9,630,78,70,67,77,73,52,79,64,59
NY,Buffalo,261310,3611000,15.6,22.8,31.2,36.3,43.6,514,84,36,65,71,66,47,64,60,64
SC,Charleston,120083,4513330,19.9,17.4,19.4,28,34.7,519,78,41,58,69,68,46,65,76,64
NC,Charlotte,731424,3712000,14.7,16.8,20.5,27.8,34,517,69,33,54,65,65,39,56,53,51
TN,Chattanooga,167674,4714000,11,24.1,29.2,35.1,38.1,575,78,38,61,70,75,36,57,67,55
IL,Chicago,2695598,1714000,18.7,19.1,27.6,31.3,37.4,602,71,35,56,63,64,38,63,52,52
OH,Cincinnati,296943,3915000,15.9,24,27,36.5,38.9,515,74,39,60,74,67,44,53,54,68
SC,Columbia,129272,4516000,15.9,20.3,24.9,34.4,40.9,546,77,53,66,81,62,76,61,61,66
GA,Columbus,189885,1319000,13.5,20.3,25.8,33.2,42.9,522,74,49,61,74,70,61,66,63,62
OH,Columbus,787033,3918000,17,21.7,27,35,40.2,535,78,37,61,72,69,43,55,55,63
TX,Corpus Christi,305215,4817000,17,17.7,29,37.3,35.4,600,71,39,61,83,78,46,57,50,59
OH,Dayton,141527,3921000,13.6,28.7,32.2,47.2,45.7,542,75,30,69,74,71,45,52,55,62
CO,Denver,600158,820000,19.9,17,16.7,19.7,28.1,751,63,30,55,59,65,39,55,51,53
MI,Detroit,713777,2622000,13.5,29.8,36.4,45.2,50.8,505,74,42,58,65,65,37,64,59,58
TX,El Paso,649121,4824000,16.3,15.6,29,35.5,34,765,68,62,66,84,65,61,42,42,68
PA,Erie,101786,4224000,16.9,27.6,26.1,36,37.3,516,83,47,71,76,73,42,70,65,63
OR,Eugene,156185,4123850,18.9,17.7,14.9,28.7,31.4,801,65,41,65,71,65,62,49,66,68
IN,Evansville,117429,1822000,15.8,25.3,28.9,35.1,39.3,649,74,38,70,80,82,53,74,67,65
FL,Gainesville,124354,1225175,16.3,19.7,22.6,27.9,36.2,592,82,86,66,85,62,81,77,83,100
HI,Honolulu,953207,15003,19,15.5,22.2,22.1,48,744,64,26,53,66,66,50,49,60,53
TX,Houston,2099451,4835000,14.9,16.4,29.7,33.9,36,618,70,41,51,67,60,38,47,53,59
IN,Indianapolis,820445,1836003,14.9,23.9,27.6,34.9,39.2,527,77,46,68,80,70,56,63,61,67
MS,Jackson,173514,2836000,11.4,23.4,33,40.6,43.6,718,78,58,61,92,67,75,91,70,56
FL,Jacksonville,821784,1235000,17.4,21.1,25.5,30.6,37.8,561,72,60,55,71,67,46,91,61,56
AR,Jonesboro,67263,535710,14.4,24.3,30.1,32.9,35.8,734,81,46,71,77,74,65,72,60,75
MO,Kansas City,459787,2938000,14.7,22.3,25.7,34.7,35.6,616,76,47,61,73,67,46,63,60,61
TN,Knoxville,178874,4740000,10.8,25.4,27.7,32.4,39,557,76,38,62,71,77,40,64,64,60
