dma,State,geoCode,Year,cancer,cardiovascular,depression,diabetes,diarrhea,obesity,rehab,stroke,vaccine
Abilene-Sweetwater TX,TX,662,2004,27,0,67,45,32,28,17,16,50
Abilene-Sweetwater TX,TX,662,2005,51,29,10,21,30,29,57,36,23
Abilene-Sweetwater TX,TX,662,2006,43,38,21,31,57,32,36,20,36
Abilene-Sweetwater TX,TX,662,2007,55,32,32,61,26,32,72,64,28
Abilene-Sweetwater TX,TX,662,2008,54,7,30,43,55,21,85,61,24
Abilene-Sweetwater TX,TX,662,2009,59,28,17,65,78,22,77,37,26
Abilene-Sweetwater TX,TX,662,2010,55,33,26,36,21,24,68,42,43
Abilene-Sweetwater TX,TX,662,2011,51,26,44,48,52,16,58,46,32
Abilene-Sweetwater TX,TX,662,2012,58,27,59,58,50,35,71,57,44
Abilene-Sweetwater TX,TX,662,2013,57,33,81,79,76,65,95,64,78
Abilene-Sweetwater TX,TX,662,2014,70,53,76,69,77,39,91,59,75
Abilene-Sweetwater TX,TX,662,2015,60,32,78,80,74,65,100,51,61
Abilene-Sweetwater TX,TX,662,2016,61,50,65,80,77,48,100,69,66
Abilene-Sweetwater TX,TX,662,2017,56,32,64,88,77,31,92,68,80
Albany GA,GA,525,2004,44,5,43,46,16,18,27,12,24
Albany GA,GA,525,2005,69,20,14,20,9,17,28,28,29
Albany GA,GA,525,2006,48,32,25,41,28,27,40,23,28
Albany GA,GA,525,2007,72,24,36,54,24,35,41,43,29
Albany GA,GA,525,2008,66,23,28,44,34,16,50,65,17
Albany GA,GA,525,2009,60,20,20,58,54,42,55,57,31
Albany GA,GA,525,2010,63,43,26,44,26,37,54,42,48
Albany GA,GA,525,2011,62,64,62,81,50,62,67,49,59
Albany GA,GA,525,2012,64,55,65,70,68,75,53,70,42
Albany GA,GA,525,2013,68,57,70,73,65,55,47,75,56
Albany GA,GA,525,2014,76,71,64,77,64,64,62,64,52
Albany GA,GA,525,2015,69,53,66,82,67,65,53,55,55
Albany GA,GA,525,2016,63,67,59,79,68,56,47,67,51
Albany GA,GA,525,2017,63,50,62,81,73,47,52,69,54
